
1/23/2022 21:27,CUB - online payment,Snacks with preethi and azar,176,Expense
1/23/2022 21:27,CUB - online payment,Badminton,200,Expense
1/23/2022 21:27,CUB - online payment,From dad,2000,Income
1/21/2022 14:22,CUB - online payment,Lunch with company,188,Expense
1/21/2022 11:47,CUB - online payment,Snacks,37,Expense
1/21/2022 11:47,CUB - online payment,From vicky,200,Income
1/19/2022 14:27,CUB - online payment,Lunch + chocolate for preethi,171,Expense
1/18/2022 20:54,CUB - online payment,Dinner,301.15,Expense
1/18/2022 17:10,CUB - online payment,Snack with preethi,59,Expense
1/18/2022 13:51,CUB - online payment,Lunch with company,148,Expense
1/18/2022 12:59,CUB - online payment,To kumara,200,Expense
1/18/2022 12:59,CUB - online payment,From dad,1000,Income
1/17/2022 18:31,CUB - online payment,Eve snack,100,Expense
1/15/2022 21:17,CUB - online payment,Bus to Bangalore,1365,Expense
1/15/2022 21:16,CUB - online payment,From dad,1500,Income
1/15/2022 21:16,CUB - online payment,Snacks,70,Expense
1/14/2022 16:58,CUB - online payment,Kumara,170,Income
1/14/2022 16:56,CUB - online payment,Siva + 100 cash,70,Income
1/14/2022 16:56,CUB - online payment,Gundan + prasanna,340,Income
1/14/2022 16:55,CUB - online payment,Dinesh and maddy + 100 cash,240,Income
1/14/2022 16:54,CUB - online payment,From gowdham,340,Income
1/14/2022 16:54,CUB - online payment,Lunch pongal,1530,Expense
1/13/2022 20:46,CUB - online payment,Dinner,66,Expense
1/13/2022 19:10,CUB - online payment,From dad,1000,Income
1/13/2022 17:47,CUB - online payment,Rapido to pg,43,Expense
01-12-2022 22:44,CUB - online payment,Recharge by gowdham,479,Expense
01-12-2022 13:25,CUB - online payment,Pizza,301.75,Expense
01-12-2022 13:25,CUB - online payment,From kumara,200,Income
01-11-2022 14:07,CUB - online payment,Lunch with not preethi,135.5,Expense
01-10-2022 14:04,CUB - online payment,Friday snacks with preethi gang,106,Expense
01-08-2022 13:46,CUB - online payment,From gowdham,260,Income
01-08-2022 13:45,CUB - online payment,Lunch with gowdham,535.3,Expense
01-08-2022 13:38,CUB - online payment,Rent,4580,Expense
01-07-2022 13:51,CUB - online payment,Coffee + biscuit,15,Expense
01-06-2022 21:30,CUB - online payment,From barath and shakur,440,Income
01-06-2022 20:58,CUB - online payment,Ketch up,20,Expense
01-06-2022 20:13,CUB - online payment,Dinner with roommate,877.81,Expense
01-06-2022 14:22,CUB - online payment,Bingo,10,Expense
01-06-2022 11:48,CUB - online payment,Rapido to pg,42,Expense
01-05-2022 20:23,CUB - online payment,McDonald's with company,211,Expense
01-05-2022 14:46,CUB - online payment,Lended money returned to vishnu,40,Expense
01-05-2022 14:42,CUB - online payment,Lended money returned to kumara,30,Expense
01-05-2022 14:42,CUB - online payment,Jan 2nd with shakur and barath,354,Expense
