Date,Account,Note,Amount,Income/Expense,Account
01-03-2022 22:15,CUB - online payment,Dairy milk,10,Expense,10
01-03-2022 21:54,CUB - online payment,From barath,201,Income,201
01-03-2022 21:12,CUB - online payment,From gpay,5,Income,5
01-03-2022 21:11,CUB - online payment,From shakur,140,Income,140
01-03-2022 14:31,CUB - online payment,Lunch unlimited nv,300,Expense,300
01-03-2022 14:30,CUB - online payment,From abi,300,Income,300
01-02-2022 20:33,CUB - online payment,Tablet to gowdham,8,Expense,8
01-02-2022 20:32,CUB - online payment,Dinner with barath,200,Expense,200
01-02-2022 14:16,CUB - online payment,Train to vnr,725,Expense,725
01-01-2022 21:46,CUB - online payment,Snacks,85,Expense,85
01-01-2022 21:45,CUB - online payment,From dad,1000,Income,1000
12/30/2021 14:10,CUB - online payment,To barath,20,Expense,20
12/30/2021 13:56,CUB - online payment,Pg to office,43,Expense,43
12/30/2021 13:36,CUB - online payment,From kumara,30,Income,30
12/30/2021 12:43,CUB - online payment,Horlicks + kolakattai,25,Expense,25
12/30/2021 12:38,CUB - online payment,Bommasandra to pg,199,Expense,199
12/30/2021 12:37,CUB - online payment,From Deepak,250,Income,250
12/30/2021 11:45,CUB - online payment,Water,20,Expense,20
12/30/2021 11:45,CUB - online payment,From abi,20,Income,20
12/30/2021 11:45,CUB - online payment,Rapido + toll,286,Expense,286
12/30/2021 11:44,CUB - online payment,From Deepak,250,Income,250
12/28/2021 13:42,CUB - online payment,Coffee and thattai,14,Expense,14
12/27/2021 13:45,CUB - online payment,Lunch with barath,115,Expense,115
12/27/2021 13:44,CUB - online payment,From vicky,80,Income,80
12/27/2021 12:33,CUB - online payment,From ganesan,40,Income,40
12/27/2021 12:33,CUB - online payment,Coconut water with stu,50,Expense,50
12/25/2021 22:53,CUB - online payment,Dinner with barath,504,Expense,504
12/25/2021 20:46,CUB - online payment,Cab,306,Expense,306
12/25/2021 19:50,CUB - online payment,Books,400,Expense,400
12/25/2021 17:01,CUB - online payment,Corn,30,Expense,30
12/25/2021 15:35,CUB - online payment,Water,30,Expense,30
12/25/2021 13:32,CUB - online payment,Milk with bharath,40,Expense,40
12/24/2021 21:49,CUB - online payment,Beer,150,Expense,150
12/24/2021 14:35,CUB - online payment,Lunch with company,262,Expense,262
12/23/2021 16:31,CUB - online payment,Lemon tea with company,15,Expense,15
12/23/2021 13:51,CUB - online payment,Puffs and coffee,32,Expense,32
12/21/2021 20:53,CUB - online payment,Dinner with barath,239,Expense,239
12/21/2021 14:02,CUB - online payment,Puffs,25,Expense,25
12/21/2021 11:43,CUB - online payment,Bun,18,Expense,18
12/20/2021 19:23,CUB - online payment,Milk with bharath,80,Expense,80
12/20/2021 19:22,CUB - online payment,Taxi,80,Expense,80
12/20/2021 16:55,CUB - online payment,Snacks,20,Expense,20
12/20/2021 15:29,CUB - online payment,Water,20,Expense,20
12/20/2021 13:35,CUB - online payment,Lunch with barath,85,Expense,85
12/20/2021 9:46,CUB - online payment,Milk with bharath,40,Expense,40
12/19/2021 15:51,CUB - online payment,To siva,100,Expense,100
12/18/2021 21:01,CUB - online payment,To kumara,100,Expense,100
12/18/2021 21:01,CUB - online payment,To abijith,200,Expense,200
12/18/2021 21:00,CUB - online payment,To rahul,113,Expense,113
12/18/2021 21:00,CUB - online payment,From dad,1000,Income,1000
12/18/2021 19:52,CUB - online payment,Lended money,400,Income,400
12/18/2021 19:51,CUB - online payment,Spiderman ,363.72,Expense,363.72
12/18/2021 14:19,CUB - online payment,Lunch,160,Expense,160
12/17/2021 18:54,CUB - online payment,Milk with bharath,70,Expense,70
12/17/2021 14:45,CUB - online payment,Lunch with company,110,Expense,110
12/17/2021 8:35,CUB - online payment,Gave to gowdham,50,Expense,50
12/16/2021 18:44,CUB - online payment,Egg,30,Expense,30
12/16/2021 18:35,CUB - online payment,Panipoori,20,Expense,20
12/16/2021 13:38,CUB - online payment,Lunch,30,Expense,30
12/16/2021 10:42,CUB - online payment,Milk with bharath,110,Expense,110
12/14/2021 23:54,CUB - online payment,Lunch,40,Expense,40
12/14/2021 21:21,CUB - online payment,Snacks,75,Expense,75
12/14/2021 21:03,CUB - online payment,Panipoori,80,Expense,80
12/14/2021 15:18,CUB - online payment,Snacks,74,Expense,74
12/14/2021 10:33,CUB - online payment,Milk with bharath,65,Expense,65
12-12-2021 21:47,CUB - online payment,Milk with bharath,25,Expense,25
12-11-2021 09:22,CUB - online payment,From dad,1000,Income,1000
12-11-2021 08:20,CUB - online payment,From stu,240,Income,240
12-10-2021 21:38,CUB - online payment,Shopping,241,Expense,241
12-10-2021 20:55,CUB - online payment,Momos,195,Expense,195
12-09-2021 20:03,CUB - online payment,Snack with bharath,40,Expense,40
12-09-2021 14:01,CUB - online payment,Lunch with company,280,Expense,280
12-09-2021 09:56,CUB - online payment,Milk with bharath,25,Expense,25
12-09-2021 08:47,CUB - online payment,Breakfast with stu,110,Expense,110
12-08-2021 14:15,CUB - online payment,Lunch with stu,100,Expense,100
12-08-2021 14:15,Cash,5 star,1120.72,Expense,15
12-08-2021 07:17,CUB - online payment,Milk,10,Expense,10
12-07-2021 09:54,CUB - online payment,Milk with bharath,25,Expense,25
12-07-2021 07:59,CUB - online payment,Horlicks,15,Expense,15
12-06-2021 21:59,CUB - online payment,Milk with bharath,25,Expense,25
12-06-2021 20:07,CUB - online payment,Shoe,500,Expense,500
12-06-2021 19:57,CUB - online payment,Cap,140,Expense,140
12-06-2021 14:08,CUB - online payment,Lunch with stu,150,Expense,150
12-05-2021 19:45,CUB - online payment,Milk with bharath,25,Expense,25
12-05-2021 18:41,CUB - online payment,Full hand and a hoodie,1800,Expense,1800
12-05-2021 12:23,CUB - online payment,Rent,4800,Expense,4800
12-05-2021 12:23,CUB - online payment,From dad,8000,Income,8000
12-04-2021 21:05,CUB - online payment,Dinner,324,Expense,324
12-04-2021 20:20,CUB - online payment,Snack,65,Expense,65
12-04-2021 13:54,CUB - online payment,For company,30,Expense,30
12-04-2021 10:13,CUB - online payment,Breakfast,200,Expense,200
12-03-2021 21:59,CUB - online payment,Milk with bharath,25,Expense,25
12-03-2021 21:59,CUB - online payment,Belt,130,Expense,130
12-03-2021 21:28,CUB - online payment,Mask,20,Expense,20
12-03-2021 21:28,CUB - online payment,Snack,40,Expense,40
12-03-2021 21:28,CUB - online payment,From dad,1000,Income,1000
12-02-2021 20:07,CUB - online payment,Ice cream,504,Expense,504
12-02-2021 19:48,CUB - online payment,Vadapaav,75,Expense,75
12-01-2021 19:57,CUB - online payment,Showergel,196,Expense,196
12-01-2021 14:00,CUB - online payment,Lunch with company,160,Expense,160
11/30/2021 14:24,CUB - online payment,Bharath birthday,115,Expense,115
11/30/2021 14:17,CUB - online payment,Lunch with company,128,Expense,128
11/30/2021 10:11,CUB - online payment,Breakfast,70,Expense,70
11/29/2021 20:47,CUB - online payment,Lunch with company,40,Expense,40
11/29/2021 20:47,CUB - online payment,Dinner,50,Expense,50
11/29/2021 20:09,CUB - online payment,Panipoori,40,Expense,40
11/29/2021 9:29,CUB - online payment,Breakfast,40,Expense,40
11/28/2021 19:59,CUB - online payment,Snack,94,Expense,94
11/28/2021 13:10,CUB - online payment,Zomato,269.4,Expense,269.4
11/27/2021 23:14,CUB - online payment,Dinner with gowdham,120,Expense,120
11/27/2021 22:34,CUB - online payment,Dinner with gowdham,130,Expense,130
11/27/2021 18:41,CUB - online payment,Rapido,35,Expense,35
11/27/2021 13:46,CUB - online payment,Lunch with company,75,Expense,75
11/27/2021 13:46,CUB - online payment,From dad,2000,Income,2000
11/27/2021 9:33,CUB - online payment,Breakfast,30,Expense,30
11/26/2021 21:56,CUB - online payment,Beer,150,Expense,150
11/26/2021 20:57,CUB - online payment,Snack,102,Expense,102
11/26/2021 20:15,CUB - online payment,Panipoori,40,Expense,40
11/26/2021 14:14,CUB - online payment,Cashback,3,Income,3
11/26/2021 14:14,CUB - online payment,Lunch with company,150,Expense,150
11/26/2021 9:22,CUB - online payment,Breakfast,60,Expense,60
11/25/2021 20:27,CUB - online payment,Lunch with company,145,Expense,145
11/25/2021 20:27,CUB - online payment,Rapido,58,Expense,58
11/25/2021 20:27,CUB - online payment,Dinner,95,Expense,95
11/24/2021 19:26,CUB - online payment,Snack,15,Expense,15
11/24/2021 19:23,CUB - online payment,Dinner,70,Expense,70
11/24/2021 19:06,CUB - online payment,Panipoori,20,Expense,20
11/24/2021 19:06,CUB - online payment,Rapido,58,Expense,58
11/23/2021 22:53,CUB - online payment,Rapido,50,Expense,50
11/23/2021 22:53,CUB - online payment,Dinner,179,Expense,179
11/22/2021 14:16,CUB - online payment,Dinner,90,Expense,90
11/22/2021 14:16,CUB - online payment,Lunch with company,97,Expense,97
11/21/2021 17:07,CUB - online payment,Rapido,130,Expense,130
11/21/2021 15:50,CUB - online payment,Lunch,875,Expense,875
11/21/2021 13:30,CUB - online payment,Got from gobi,2000,Income,2000
